# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "-t" "exon" "-g" "gene_id" "-a" "reference/gencode.v44.annotation.gtf" "-o" "counts/gene_counts.txt" "aligned/SRR1039508_sorted.bam" "aligned/SRR1039509_sorted.bam" "aligned/SRR1039510_sorted.bam" "aligned/SRR1039511_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aligned/SRR1039508_sorted.bam	aligned/SRR1039509_sorted.bam	aligned/SRR1039510_sorted.bam	aligned/SRR1039511_sorted.bam
ENSG00000290825.1	chr1;chr1;chr1	11869;12613;13221	12227;12721;14409	+;+;+	1657	1	0	0	0
ENSG00000223972.6	chr1;chr1;chr1;chr1;chr1;chr1	12010;12179;12613;12975;13221;13453	12057;12227;12697;13052;13374;13670	+;+;+;+;+;+	632	0	0	0	0
ENSG00000227232.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	14404;15005;15796;16607;16858;17233;17606;17915;18268;24738;29534	14501;15038;15947;16765;17055;17368;17742;18061;18366;24891;29570	-;-;-;-;-;-;-;-;-;-;-	1351	26	31	45	43
ENSG00000278267.1	chr1	17369	17436	-	68	0	4	2	4
ENSG00000243485.5	chr1;chr1;chr1;chr1;chr1	29554;30267;30564;30976;30976	30039;30667;30667;31109;31097	+;+;+;+;+	1021	0	0	0	0
ENSG00000284332.1	chr1	30366	30503	+	138	0	0	0	0
ENSG00000237613.2	chr1;chr1;chr1;chr1;chr1	34554;35245;35277;35721;35721	35174;35481;35481;36073;36081	-;-;-;-;-	1219	2	0	0	0
ENSG00000268020.3	chr1	52473	53312	+	840	0	0	0	0
ENSG00000290826.1	chr1;chr1;chr1	57598;58700;62916	57653;58856;64116	+;+;+	1414	0	0	0	0
ENSG00000240361.3	chr1	62949	63887	+	939	0	0	0	0
ENSG00000186092.7	chr1;chr1;chr1	65419;65520;69037	65433;65573;71585	+;+;+	2618	0	0	0	0
ENSG00000238009.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	89295;92091;92230;110953;112700;112700;112700;120721;120725;120775;120874;129055;129055;129055;129081;133374;133374	91629;92240;92240;111357;112804;112804;112804;120932;120869;120932;120932;129223;129173;129217;129223;133566;133723	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3726	0	0	1	0
ENSG00000239945.1	chr1;chr1	89551;90287	90050;91105	-;-	1319	0	0	0	0
ENSG00000233750.3	chr1	131025	134836	+	3812	0	0	0	0
